elapsed_ms,expected_motor_state
0,COMMANDED_MOTION_AVAILABLE
100,COMMANDED_MOTION_AVAILABLE
200,COMMANDED_MOTION_AVAILABLE
300,COMMANDED_MOTION_AVAILABLE
400,COMMANDED_MOTION_AVAILABLE
500,COMMANDED_MOTION_AVAILABLE
600,COMMANDED_MOTION_AVAILABLE
700,COMMANDED_MOTION_AVAILABLE
800,COMMANDED_MOTION_AVAILABLE
900,COMMANDED_MOTION_AVAILABLE
1000,COMMANDED_MOTION_AVAILABLE
1100,STOP
1200,STOP
1300,STOP
1400,STOP
1500,STOP
1600,STOP
